initial_value	min_pos	min_value	max_pos_99.8	final_value	a	g	pEndemic
0.597	5	0.5365	9	0.7093	0.46	5.0	0.2
0.8488	6	0.7289	9	0.9077	0.17	10.0	0.7
0.7441	0	0.7441	9	0.9881	0.28	0.0	0.5
0.5002	9	0.221	0	0.221	0.13	15.0	0.0
0.7514	7	0.597	0	0.7353	0.22	10.0	0.5
0.8536	9	0.5056	0	0.5056	0.22	20.0	0.7
0.5546	9	0.3642	0	0.3642	0.77	10.0	0.1
0.7477	9	0.4443	0	0.4443	0.36	15.0	0.5
0.7016	9	0.3773	0	0.3773	0.46	15.0	0.4
0.8033	3	0.7974	9	0.8766	0.77	0.0	0.6
0.7921	0	0.7921	9	0.9368	0.6	0.0	0.6
0.6562	1	0.6519	9	0.8885	0.46	0.0	0.3
0.6958	5	0.6355	9	0.9173	0.28	5.0	0.4
0.8041	8	0.5382	0	0.5707	0.17	15.0	0.6
0.6466	9	0.2398	0	0.2398	0.77	20.0	0.3
0.5482	8	0.431	0	0.4312	0.13	10.0	0.1
0.7041	9	0.3955	0	0.3955	0.22	15.0	0.4
0.6532	9	0.2586	0	0.2586	0.13	20.0	0.3
0.8038	7	0.6283	0	0.7008	0.6	10.0	0.6
0.9019	6	0.8027	9	0.9242	0.36	10.0	0.8
0.9498	6	0.8899	9	0.9555	0.46	10.0	0.9
0.8505	6	0.7372	9	0.9275	0.1	10.0	0.7
0.6043	5	0.5475	9	0.7703	0.36	5.0	0.2
0.5005	9	0.1877	0	0.1877	0.28	20.0	0.0
0.9494	8	0.7839	0	0.8285	0.17	20.0	0.9
0.8519	4	0.8045	9	0.9979	0.1	5.0	0.7
0.9492	0	0.9492	9	0.999	0.28	0.0	0.9
0.5964	8	0.4496	0	0.4717	0.28	10.0	0.2
0.7511	9	0.3725	0	0.3725	0.1	20.0	0.5
0.7024	9	0.285	0	0.285	0.6	20.0	0.4
0.9527	6	0.893	9	0.982	0.22	10.0	0.9
0.8459	0	0.8459	8	0.9997	0.13	0.0	0.7
0.8039	4	0.7468	9	0.9879	0.17	5.0	0.6
0.5985	0	0.5985	9	0.9662	0.22	0.0	0.2
0.9502	8	0.8434	0	0.9008	0.36	15.0	0.9
0.8497	8	0.582	0	0.5886	0.6	15.0	0.7
0.7978	8	0.5493	0	0.5781	0.1	15.0	0.6
0.9037	8	0.7	0	0.7531	0.46	15.0	0.8
0.6533	1	0.6496	9	0.9367	0.36	0.0	0.3
0.8015	0	0.8015	8	0.9996	0.1	0.0	0.6
0.9002	4	0.8593	9	0.9891	0.28	5.0	0.8
0.648	9	0.3378	0	0.3378	0.28	15.0	0.3
0.9016	8	0.7226	0	0.8053	0.22	15.0	0.8
0.7964	4	0.7458	9	0.9923	0.13	5.0	0.6
